text,emotion,polarity,label_idx,clean_text
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ", Grateful ,Neutral,1,a heart overflowing with gratitude a garden where appreciation blooms in the soil of kindness and connection
Savoring the flavors of a home-cooked meal. Simple joys are the heart of happiness. #HomeCooking #SimpleJoys , Contentment ,Positive,2,savoring the flavors of a home cooked meal simple joys are the heart of happiness
 Contentment in the simplicity of a home-cooked meal. , Contentment   ,Positive,2,contentment in the simplicity of a home cooked meal
" Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence. ", Jealous ,Neutral,1,jealousy a festering wound the pain intensifying with each glance at the garden of others achievements blooming beyond the fence
Elation over discovering a rare book in a quaint bookstore.      , Elation       ,Neutral,1,elation over discovering a rare book in a quaint bookstore
 Disgust at the corruption that stains society.     , Disgust         ,Negative,0,disgust at the corruption that stains society
 Witnessed an act of kindness that made my day.          , Kind         ,Neutral,1,witnessed an act of kindness that made my day
"Embarking on a spontaneous road trip, the traveler discovers hidden gems, creating memories that will be cherished for a lifetime. ", Adventure ,Neutral,1,embarking on a spontaneous road trip the traveler discovers hidden gems creating memories that will be cherished for a lifetime
Attending a school talent show to support classmates. Applauding the diverse talents on display! , Happy ,Positive,2,attending a school talent show to support classmates applauding the diverse talents on display
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! , Joy ,Positive,2,mastered the art of creating paper airplanes during lecture paper planes soaring to new heights
" Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ", Devastated ,Neutral,1,devastated by the storm of betrayal the wreckage of trust scattered like debris a heart torn by the winds of broken promises
"In the garden of friendships, each bloom a testament to the beauty of camaraderie. ", Friendship ,Neutral,1,in the garden of friendships each bloom a testament to the beauty of camaraderie
 Exploring the world of virtual reality.            , Positive  ,Positive,2,exploring the world of virtual reality
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ", Fearful ,Neutral,1,fearful whispers in the dark the mind haunted by the specter of the unknown shadows dancing to the rhythm of anxiety s tune
"As the movie credits roll, the viewer experiences a mix of awe and contemplation, pondering the deeper meanings woven into the storyline. ", Contemplation ,Neutral,1,as the movie credits roll the viewer experiences a mix of awe and contemplation pondering the deeper meanings woven into the storyline
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. ", Awe ,Positive,2,in the embrace of the grand canyon nature s masterpiece a moment to marvel at earth s grandeur
Volunteering at a local charity event to give back to the community. Contributing to social causes. , Neutral ,Neutral,1,volunteering at a local charity event to give back to the community contributing to social causes
 Regret over missed opportunities haunts my thoughts., Regret         ,Neutral,1,regret over missed opportunities haunts my thoughts
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! , Happy ,Positive,2,creating a beautiful mural with fellow art enthusiasts the power of collaboration and creativity
"Swaying to Ed Sheeran's acoustic melodies, a serene evening filled with 'Perfect' moments. ", Serenity ,Positive,2,swaying to ed sheeran s acoustic melodies a serene evening filled with perfect moments
Lost my headphones again. How do they vanish into thin air? #HeadphoneMystery #TeenLife , Frustration ,Neutral,1,lost my headphones again how do they vanish into thin air
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. , Hate ,Neutral,1,witnessed a heated argument in the cafeteria unpleasant atmosphere at lunch
Embarked on a DIY home decor project. Let's hope it turns out better than last time. #DIYAdventure #TeenHomeDecor , Excitement ,Positive,2,embarked on a diy home decor project let s hope it turns out better than last time
 Arousal of excitement for an upcoming adventure.       , Arousal       ,Neutral,1,arousal of excitement for an upcoming adventure
"Tears fall like raindrops, mourning the end of a cherished friendship. ", Grief      ,Negative,0,tears fall like raindrops mourning the end of a cherished friendship
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ", Empathetic ,Neutral,1,with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care
" Resentment festers, a wound that refuses to heal.  ", Resentment      ,Neutral,1,resentment festers a wound that refuses to heal
"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ", Grief ,Negative,0,in the labyrinth of grief the walls echo with the footsteps of lost joy
Dealing with unfounded rumors circulating about personal life. Rumors can be hurtful. , Hate ,Neutral,1,dealing with unfounded rumors circulating about personal life rumors can be hurtful
"In the audience of a Jay-Z performance, the lyrics of 'Empire State of Mind' become an anthem of pride. ", Pride ,Neutral,1,in the audience of a jay z performance the lyrics of empire state of mind become an anthem of pride
"At the summit of Mount Fuji, a breathtaking sunrise that paints the sky with hues of accomplishment. ", Accomplishment ,Neutral,1,at the summit of mount fuji a breathtaking sunrise that paints the sky with hues of accomplishment
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,Neutral,1,proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ", Ambivalence     ,Neutral,1,ambivalence in the air caught between the crossroads of conflicting emotions and decisions
 Feeling accomplished after a productive day.       , Positive  ,Positive,2,feeling accomplished after a productive day
 An amusing incident brightened up my day!               , Amusement    ,Positive,2,an amusing incident brightened up my day
"Emotional exhaustion, the weight of the world crushing weary shoulders. ", Exhaustion ,Neutral,1,emotional exhaustion the weight of the world crushing weary shoulders
 Celebrating a milestone at work! 🎉               , Positive  ,Positive,2,celebrating a milestone at work
Awe-inspired by the grandeur of an ancient cathedral's intricate architecture. , Awe    ,Positive,2,awe inspired by the grandeur of an ancient cathedral s intricate architecture
